region,Sport,Season,Event,0
Afghanistan,Taekwondo,Summer,Taekwondo Men's Featherweight,1
Afghanistan,Taekwondo,Summer,Taekwondo Men's Flyweight,1
Algeria,Athletics,Summer,"Athletics Men's 1,500 metres",3
Algeria,Athletics,Summer,"Athletics Men's 5,000 metres",1
Algeria,Athletics,Summer,Athletics Men's 800 metres,2
Algeria,Athletics,Summer,Athletics Men's High Jump,1
Algeria,Athletics,Summer,"Athletics Women's 1,500 metres",2
Algeria,Boxing,Summer,Boxing Men's Featherweight,1
Algeria,Boxing,Summer,Boxing Men's Light-Heavyweight,1
Algeria,Boxing,Summer,Boxing Men's Light-Welterweight,1
Algeria,Boxing,Summer,Boxing Men's Lightweight,1
Algeria,Boxing,Summer,Boxing Men's Middleweight,2
Algeria,Judo,Summer,Judo Men's Middleweight,1
Algeria,Judo,Summer,Judo Women's Half-Lightweight,1
Argentina,Athletics,Summer,Athletics Men's Marathon,3
Argentina,Athletics,Summer,Athletics Men's Triple Jump,1
Argentina,Athletics,Summer,Athletics Women's Long Jump,1
Argentina,Basketball,Summer,Basketball Men's Basketball,24
Argentina,Boxing,Summer,Boxing Men's Featherweight,5
Argentina,Boxing,Summer,Boxing Men's Flyweight,1
Argentina,Boxing,Summer,Boxing Men's Heavyweight,5
Argentina,Boxing,Summer,Boxing Men's Light-Heavyweight,4
Argentina,Boxing,Summer,Boxing Men's Light-Middleweight,1
Argentina,Boxing,Summer,Boxing Men's Lightweight,2
Argentina,Boxing,Summer,Boxing Men's Middleweight,3
Argentina,Boxing,Summer,Boxing Men's Welterweight,3
Argentina,Cycling,Summer,Cycling Men's Madison,2
Argentina,Equestrianism,Summer,"Equestrianism Mixed Three-Day Event, Individual",1
Argentina,Fencing,Summer,"Fencing Men's Foil, Team",5
Argentina,Football,Summer,Football Men's Football,68
Argentina,Hockey,Summer,Hockey Men's Hockey,18
Argentina,Hockey,Summer,Hockey Women's Hockey,63
Argentina,Judo,Summer,Judo Women's Extra-Lightweight,2
Argentina,Polo,Summer,Polo Men's Polo,9
Argentina,Rowing,Summer,Rowing Men's Coxless Pairs,2
Argentina,Rowing,Summer,Rowing Men's Double Sculls,2
Argentina,Rowing,Summer,Rowing Men's Single Sculls,2
Argentina,Sailing,Summer,Sailing Men's Two Person Dinghy,4
Argentina,Sailing,Summer,Sailing Men's Windsurfer,2
Argentina,Sailing,Summer,Sailing Mixed 6 metres,5
Argentina,Sailing,Summer,Sailing Mixed Multihull,6
Argentina,Sailing,Summer,Sailing Mixed Three Person Keelboat,3
Argentina,Sailing,Summer,Sailing Women's One Person Dinghy,1
Argentina,Shooting,Summer,"Shooting Men's Rapid-Fire Pistol, 25 metres",1
Argentina,Swimming,Summer,Swimming Men's 400 metres Freestyle,1
Argentina,Swimming,Summer,Swimming Women's 100 metres Freestyle,1
Argentina,Swimming,Summer,Swimming Women's 400 metres Individual Medley,1
Argentina,Taekwondo,Summer,Taekwondo Men's Welterweight,1
Argentina,Tennis,Summer,Tennis Men's Doubles,2
Argentina,Tennis,Summer,Tennis Men's Singles,2
Argentina,Tennis,Summer,Tennis Women's Doubles,2
Argentina,Tennis,Summer,Tennis Women's Singles,1
Argentina,Volleyball,Summer,Volleyball Men's Volleyball,12
Argentina,Weightlifting,Summer,Weightlifting Men's Heavyweight,2
Armenia,Boxing,Summer,Boxing Men's Lightweight,1
Armenia,Weightlifting,Summer,Weightlifting Men's Heavyweight,1
Armenia,Weightlifting,Summer,Weightlifting Men's Light-Heavyweight,1
Armenia,Weightlifting,Summer,Weightlifting Men's Lightweight,1
Armenia,Weightlifting,Summer,Weightlifting Men's Middleweight,2
Armenia,Weightlifting,Summer,Weightlifting Men's Super-Heavyweight,1
Armenia,Weightlifting,Summer,Weightlifting Women's Super-Heavyweight,1
Armenia,Wrestling,Summer,"Wrestling Men's Featherweight, Greco-Roman",1
Armenia,Wrestling,Summer,"Wrestling Men's Flyweight, Greco-Roman",1
Armenia,Wrestling,Summer,"Wrestling Men's Heavyweight, Greco-Roman",2
Armenia,Wrestling,Summer,"Wrestling Men's Light-Flyweight, Freestyle",1
Armenia,Wrestling,Summer,"Wrestling Men's Middleweight, Greco-Roman",1
Armenia,Wrestling,Summer,"Wrestling Men's Super-Heavyweight, Greco-Roman",1
Armenia,Wrestling,Summer,"Wrestling Men's Welterweight, Greco-Roman",1
Australia,Alpine Skiing,Winter,Alpine Skiing Women's Slalom,1
Australia,Alpinism,Winter,Alpinism Mixed Alpinism,1
Australia,Archery,Summer,Archery Men's Individual,2
Australia,Archery,Summer,Archery Men's Team,3
Australia,Athletics,Summer,"Athletics Men's 1,500 metres",3
Australia,Athletics,Summer,"Athletics Men's 10,000 metres",3
Australia,Athletics,Summer,Athletics Men's 100 metres,3
Australia,Athletics,Summer,Athletics Men's 20 kilometres Walk,4
Australia,Athletics,Summer,Athletics Men's 200 metres,2
Australia,Athletics,Summer,"Athletics Men's 3,000 metres Walk",1
Australia,Athletics,Summer,"Athletics Men's 3,500 metres Walk",1
Australia,Athletics,Summer,Athletics Men's 4 x 400 metres Relay,9
Australia,Athletics,Summer,Athletics Men's 400 metres,2
Australia,Athletics,Summer,"Athletics Men's 5,000 metres, Team",1
Australia,Athletics,Summer,Athletics Men's 50 kilometres Walk,3
Australia,Athletics,Summer,Athletics Men's 60 metres,1
Australia,Athletics,Summer,Athletics Men's 800 metres,2
Australia,Athletics,Summer,Athletics Men's High Jump,3
Australia,Athletics,Summer,Athletics Men's Long Jump,4
Australia,Athletics,Summer,Athletics Men's Pole Vault,1
Australia,Athletics,Summer,Athletics Men's Triple Jump,3
Australia,Athletics,Summer,Athletics Women's 100 metres,6
Australia,Athletics,Summer,Athletics Women's 100 metres Hurdles,2
Australia,Athletics,Summer,Athletics Women's 20 kilometres Walk,1
Australia,Athletics,Summer,Athletics Women's 200 metres,7
Australia,Athletics,Summer,Athletics Women's 4 x 100 metres Relay,8
Australia,Athletics,Summer,Athletics Women's 400 metres,4
Australia,Athletics,Summer,Athletics Women's 400 metres Hurdles,1
Australia,Athletics,Summer,Athletics Women's 80 metres Hurdles,7
Australia,Athletics,Summer,Athletics Women's 800 metres,1
Australia,Athletics,Summer,Athletics Women's Discus Throw,1
Australia,Athletics,Summer,Athletics Women's Heptathlon,1
Australia,Athletics,Summer,Athletics Women's High Jump,1
Australia,Athletics,Summer,Athletics Women's Javelin Throw,1
Australia,Athletics,Summer,Athletics Women's Marathon,1
Australia,Athletics,Summer,Athletics Women's Pole Vault,1
Australia,Athletics,Summer,Athletics Women's Shot Put,1
Australia,Baseball,Summer,Baseball Men's Baseball,24
Australia,Basketball,Summer,Basketball Women's Basketball,60
Australia,Beach Volleyball,Summer,Beach Volleyball Women's Beach Volleyball,4
Australia,Boxing,Summer,Boxing Men's Bantamweight,1
Australia,Boxing,Summer,Boxing Men's Light-Heavyweight,1
Australia,Boxing,Summer,Boxing Men's Light-Welterweight,1
Australia,Boxing,Summer,Boxing Men's Middleweight,1
Australia,Boxing,Summer,Boxing Men's Welterweight,1
Australia,Canoeing,Summer,"Canoeing Men's Canadian Singles, Slalom",1
Australia,Canoeing,Summer,"Canoeing Men's Kayak Doubles, 1,000 metres",6
Australia,Canoeing,Summer,"Canoeing Men's Kayak Doubles, 10,000 metres",2
Australia,Canoeing,Summer,"Canoeing Men's Kayak Doubles, 500 metres",6
Australia,Canoeing,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",8
Australia,Canoeing,Summer,"Canoeing Men's Kayak Singles, 1,000 metres",4
Australia,Canoeing,Summer,"Canoeing Men's Kayak Singles, 500 metres",3
Australia,Canoeing,Summer,"Canoeing Women's Kayak Doubles, 500 metres",2
Australia,Canoeing,Summer,"Canoeing Women's Kayak Fours, 500 metres",4
Australia,Canoeing,Summer,"Canoeing Women's Kayak Singles, 500 metres",1
Australia,Canoeing,Summer,"Canoeing Women's Kayak Singles, Slalom",4
Australia,Cycling,Summer,"Cycling Men's 1,000 metres Time Trial",7
Australia,Cycling,Summer,Cycling Men's BMX,1
Australia,Cycling,Summer,"Cycling Men's Individual Pursuit, 4,000 metres",4
Australia,Cycling,Summer,Cycling Men's Individual Time Trial,1
Australia,Cycling,Summer,Cycling Men's Keirin,3
Australia,Cycling,Summer,Cycling Men's Madison,4
Australia,Cycling,Summer,Cycling Men's Points Race,1
Australia,Cycling,Summer,"Cycling Men's Road Race, Individual",1
Australia,Cycling,Summer,Cycling Men's Sprint,7
Australia,Cycling,Summer,"Cycling Men's Tandem Sprint, 2,000 metres",4
Australia,Cycling,Summer,"Cycling Men's Team Pursuit, 4,000 metres",33
Australia,Cycling,Summer,Cycling Men's Team Sprint,3
Australia,Cycling,Summer,Cycling Women's 500 metres Time Trial,2
Australia,Cycling,Summer,"Cycling Women's Individual Pursuit, 3,000 metres",2
Australia,Cycling,Summer,Cycling Women's Keirin,1
Australia,Cycling,Summer,Cycling Women's Omnium,1
Australia,Cycling,Summer,Cycling Women's Points Race,1
Australia,Cycling,Summer,"Cycling Women's Road Race, Individual",2
Australia,Cycling,Summer,Cycling Women's Sprint,4
Australia,Cycling,Summer,Cycling Women's Team Sprint,2
Australia,Diving,Summer,Diving Men's Plain High,1
Australia,Diving,Summer,Diving Men's Platform,2
Australia,Diving,Summer,Diving Men's Synchronized Platform,2
Australia,Diving,Summer,Diving Men's Synchronized Springboard,4
Australia,Diving,Summer,Diving Women's Platform,3
Australia,Diving,Summer,Diving Women's Synchronized Platform,4
Australia,Diving,Summer,Diving Women's Synchronized Springboard,4
Australia,Equestrianism,Summer,"Equestrianism Men's Three-Day Event, Individual",2
Australia,Equestrianism,Summer,"Equestrianism Men's Three-Day Event, Team",4
Australia,Equestrianism,Summer,"Equestrianism Mixed Three-Day Event, Individual",2
Australia,Equestrianism,Summer,"Equestrianism Mixed Three-Day Event, Team",29
Australia,Freestyle Skiing,Winter,Freestyle Skiing Men's Aerials,1
Australia,Freestyle Skiing,Winter,Freestyle Skiing Men's Moguls,2
Australia,Freestyle Skiing,Winter,Freestyle Skiing Women's Aerials,4
Australia,Hockey,Summer,Hockey Men's Hockey,140
Australia,Hockey,Summer,Hockey Women's Hockey,48
Australia,Judo,Summer,Judo Men's Open Class,1
Australia,Judo,Summer,Judo Women's Lightweight,1
Australia,Modern Pentathlon,Summer,Modern Pentathlon Women's Individual,1
Australia,Rowing,Summer,Rowing Men's Coxed Eights,54
Australia,Rowing,Summer,Rowing Men's Coxless Fours,24
Australia,Rowing,Summer,Rowing Men's Coxless Pairs,8
Australia,Rowing,Summer,Rowing Men's Double Sculls,6
Australia,Rowing,Summer,Rowing Men's Lightweight Coxless Fours,8
Australia,Rowing,Summer,Rowing Men's Lightweight Double Sculls,2
Australia,Rowing,Summer,Rowing Men's Quadruple Sculls,16
Australia,Rowing,Summer,Rowing Men's Single Sculls,5
Australia,Rowing,Summer,Rowing Women's Coxed Fours,5
Australia,Rowing,Summer,Rowing Women's Coxless Pairs,6
Australia,Rowing,Summer,Rowing Women's Double Sculls,2
Australia,Rowing,Summer,Rowing Women's Lightweight Double Sculls,2
Australia,Rowing,Summer,Rowing Women's Quadruple Sculls,4
Australia,Rowing,Summer,Rowing Women's Single Sculls,2
Australia,Rugby,Summer,Rugby Men's Rugby,15
Australia,Rugby Sevens,Summer,Rugby Sevens Women's Rugby Sevens,12
Australia,Sailing,Summer,Sailing Men's One Person Dinghy,2
Australia,Sailing,Summer,Sailing Men's Skiff,4
Australia,Sailing,Summer,Sailing Men's Two Person Dinghy,8
Australia,Sailing,Summer,Sailing Men's Windsurfer,1
Australia,Sailing,Summer,Sailing Mixed 5.5 metres,6
Australia,Sailing,Summer,Sailing Mixed Multihull,12
Australia,Sailing,Summer,Sailing Mixed One Person Dinghy,2
Australia,Sailing,Summer,Sailing Mixed Three Person Keelboat,3
Australia,Sailing,Summer,Sailing Mixed Two Person Dinghy,2
Australia,Sailing,Summer,Sailing Mixed Two Person Heavyweight Dinghy,2
Australia,Sailing,Summer,Sailing Mixed Two Person Keelboat,4
Australia,Sailing,Summer,Sailing Women's Three Person Keelboat,3
Australia,Sailing,Summer,Sailing Women's Two Person Dinghy,4
Australia,Shooting,Summer,Shooting Men's Double Trap,2
Australia,Shooting,Summer,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1
Australia,Shooting,Summer,Shooting Men's Trap,3
Australia,Shooting,Summer,"Shooting Women's Air Pistol, 10 metres",1
Australia,Shooting,Summer,Shooting Women's Double Trap,1
Australia,Shooting,Summer,"Shooting Women's Sporting Pistol, 25 metres",1
Australia,Shooting,Summer,Shooting Women's Trap,2
Australia,Short Track Speed Skating,Winter,"Short Track Speed Skating Men's 1,000 metres",1
Australia,Short Track Speed Skating,Winter,"Short Track Speed Skating Men's 5,000 metres Relay",4
Australia,Snowboarding,Winter,Snowboarding Women's Halfpipe,2
Australia,Softball,Summer,Softball Women's Softball,60
Australia,Swimming,Summer,"Swimming Men's 1,500 metres Freestyle",24
Australia,Swimming,Summer,Swimming Men's 100 metres Backstroke,5
Australia,Swimming,Summer,Swimming Men's 100 metres Breaststroke,4
Australia,Swimming,Summer,Swimming Men's 100 metres Butterfly,5
Australia,Swimming,Summer,Swimming Men's 100 metres Freestyle,12
Australia,Swimming,Summer,Swimming Men's 200 metres Backstroke,3
Australia,Swimming,Summer,Swimming Men's 200 metres Breaststroke,4
Australia,Swimming,Summer,Swimming Men's 200 metres Butterfly,5
Australia,Swimming,Summer,Swimming Men's 200 metres Freestyle,7
Australia,Swimming,Summer,Swimming Men's 200 metres Obstacle Course,1
Australia,Swimming,Summer,Swimming Men's 220 yard Freestyle,1
Australia,Swimming,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,29
Australia,Swimming,Summer,Swimming Men's 4 x 100 metres Medley Relay,55
Australia,Swimming,Summer,Swimming Men's 4 x 200 metres Freestyle Relay,50
Australia,Swimming,Summer,Swimming Men's 400 metres Freestyle,18
Australia,Swimming,Summer,Swimming Men's 400 metres Individual Medley,1
Australia,Swimming,Summer,Swimming Men's 440 yard Freestyle,1
Australia,Swimming,Summer,Swimming Men's 880 yard Freestyle,1
Australia,Swimming,Summer,Swimming Men's One Mile Freestyle,1
Australia,Swimming,Summer,Swimming Women's 100 metres Backstroke,3
Australia,Swimming,Summer,Swimming Women's 100 metres Breaststroke,7
Australia,Swimming,Summer,Swimming Women's 100 metres Butterfly,6
Australia,Swimming,Summer,Swimming Women's 100 metres Freestyle,10
Australia,Swimming,Summer,Swimming Women's 200 metres Backstroke,1
Australia,Swimming,Summer,Swimming Women's 200 metres Breaststroke,5
Australia,Swimming,Summer,Swimming Women's 200 metres Butterfly,10
Australia,Swimming,Summer,Swimming Women's 200 metres Freestyle,4
Australia,Swimming,Summer,Swimming Women's 200 metres Individual Medley,4
Australia,Swimming,Summer,Swimming Women's 4 x 100 metres Freestyle Relay,39
Australia,Swimming,Summer,Swimming Women's 4 x 100 metres Medley Relay,50
Australia,Swimming,Summer,Swimming Women's 4 x 200 metres Freestyle Relay,32
Australia,Swimming,Summer,Swimming Women's 400 metres Freestyle,5
Australia,Swimming,Summer,Swimming Women's 400 metres Individual Medley,3
Australia,Swimming,Summer,Swimming Women's 50 metres Freestyle,2
Australia,Swimming,Summer,Swimming Women's 800 metres Freestyle,4
Australia,Taekwondo,Summer,Taekwondo Men's Heavyweight,1
Australia,Taekwondo,Summer,Taekwondo Women's Flyweight,1
Australia,Tennis,Summer,Tennis Men's Doubles,5
Australia,Tennis,Summer,"Tennis Men's Singles, Covered Courts",1
Australia,Tennis,Summer,Tennis Women's Doubles,4
Australia,Tennis,Summer,Tennis Women's Singles,1
Australia,Trampolining,Summer,Trampolining Men's Individual,1
Australia,Triathlon,Summer,Triathlon Women's Olympic Distance,5
Australia,Water Polo,Summer,Water Polo Women's Water Polo,39
Australia,Weightlifting,Summer,Weightlifting Men's Light-Heavyweight,1
Australia,Weightlifting,Summer,Weightlifting Men's Lightweight,1
Australia,Weightlifting,Summer,Weightlifting Men's Super-Heavyweight,2
Australia,Wrestling,Summer,"Wrestling Men's Heavyweight, Freestyle",1
Australia,Wrestling,Summer,"Wrestling Men's Light-Heavyweight, Freestyle",1
Australia,Wrestling,Summer,"Wrestling Men's Welterweight, Freestyle",1
Austria,Alpine Skiing,Winter,Alpine Skiing Men's Combined,6
Austria,Alpine Skiing,Winter,Alpine Skiing Men's Downhill,18
Austria,Alpine Skiing,Winter,Alpine Skiing Men's Giant Slalom,18
Austria,Alpine Skiing,Winter,Alpine Skiing Men's Slalom,16
Austria,Alpine Skiing,Winter,Alpine Skiing Men's Super G,6
Austria,Alpine Skiing,Winter,Alpine Skiing Women's Combined,8
Austria,Alpine Skiing,Winter,Alpine Skiing Women's Downhill,16
Austria,Alpine Skiing,Winter,Alpine Skiing Women's Giant Slalom,9
Austria,Alpine Skiing,Winter,Alpine Skiing Women's Slalom,9
Austria,Alpine Skiing,Winter,Alpine Skiing Women's Super G,8
Austria,Art Competitions,Summer,"Art Competitions Mixed Architecture, Architectural Designs",5
Austria,Art Competitions,Summer,"Art Competitions Mixed Literature, Lyric Works",1
Austria,Art Competitions,Summer,"Art Competitions Mixed Painting, Paintings",1
Austria,Art Competitions,Summer,"Art Competitions Mixed Sculpturing, Medals And Plaques",2
Austria,Art Competitions,Summer,"Art Competitions Mixed Sculpturing, Medals And Reliefs",1
Austria,Athletics,Summer,"Athletics Women's 1,500 metres",1
Austria,Athletics,Summer,Athletics Women's 800 metres,1
Austria,Athletics,Summer,Athletics Women's High Jump,1
Austria,Athletics,Summer,Athletics Women's Javelin Throw,2
Austria,Athletics,Summer,Athletics Women's Pentathlon,1
Austria,Athletics,Summer,Athletics Women's Shot Put,1
Austria,Biathlon,Winter,Biathlon Men's 10 kilometres Sprint,2
Austria,Biathlon,Winter,Biathlon Men's 12.5 kilometres Pursuit,1
Austria,Biathlon,Winter,Biathlon Men's 4 x 7.5 kilometres Relay,8
Austria,Bobsleigh,Winter,Bobsleigh Men's Four,12
Austria,Canoeing,Summer,"Canoeing Men's Canadian Doubles, 1,000 metres",2
Austria,Canoeing,Summer,"Canoeing Men's Canadian Doubles, 10,000 metres",2
Austria,Canoeing,Summer,"Canoeing Men's Folding Kayak Singles, 10 kilometres",1
Austria,Canoeing,Summer,"Canoeing Men's Kayak Doubles, 1,000 metres",8
Austria,Canoeing,Summer,"Canoeing Men's Kayak Doubles, 10,000 metres",2
Austria,Canoeing,Summer,"Canoeing Men's Kayak Singles, 1,000 metres",1
Austria,Canoeing,Summer,"Canoeing Men's Kayak Singles, 10,000 metres",1
Austria,Canoeing,Summer,"Canoeing Men's Kayak Singles, Slalom",1
Austria,Canoeing,Summer,"Canoeing Women's Kayak Singles, 500 metres",2
Austria,Canoeing,Summer,"Canoeing Women's Kayak Singles, Slalom",1
Austria,Cross Country Skiing,Winter,Cross Country Skiing Men's 10 kilometres,1
Austria,Cross Country Skiing,Winter,Cross Country Skiing Men's 30 kilometres,2
Austria,Cross Country Skiing,Winter,Cross Country Skiing Men's 50 kilometres,2
Austria,Cycling,Summer,"Cycling Men's 10,000 metres",1
Austria,Cycling,Summer,Cycling Men's 12-Hours Race,1
Austria,Cycling,Summer,Cycling Men's 333 metres Time Trial,1
Austria,Diving,Summer,Diving Men's Platform,1
Austria,Equestrianism,Summer,"Equestrianism Men's Dressage, Individual",1
Austria,Equestrianism,Summer,"Equestrianism Mixed Dressage, Individual",1
Austria,Equestrianism,Summer,"Equestrianism Mixed Jumping, Team",4
Austria,Fencing,Summer,"Fencing Men's Foil, Individual",1
Austria,Fencing,Summer,"Fencing Men's Sabre, Individual",1
Austria,Fencing,Summer,"Fencing Men's Sabre, Masters, Individual",1
Austria,Fencing,Summer,"Fencing Men's Sabre, Team",7
Austria,Fencing,Summer,"Fencing Women's Foil, Individual",3
Austria,Figure Skating,Winter,Figure Skating Men's Singles,8
Austria,Figure Skating,Winter,Figure Skating Mixed Pairs,10
Austria,Figure Skating,Winter,Figure Skating Women's Singles,7
Austria,Football,Summer,Football Men's Football,13
Austria,Freestyle Skiing,Winter,Freestyle Skiing Men's Ski Cross,1
Austria,Gymnastics,Summer,Gymnastics Men's Individual All-Around,1
Austria,Gymnastics,Summer,"Gymnastics Men's Individual All-Around, Apparatus Work",1
Austria,Gymnastics,Summer,Gymnastics Men's Team All-Around,1
Austria,Handball,Summer,Handball Men's Handball,22
Austria,Judo,Summer,Judo Men's Extra-Lightweight,1
Austria,Judo,Summer,Judo Men's Half-Lightweight,1
Austria,Judo,Summer,Judo Men's Middleweight,2
Austria,Judo,Summer,Judo Women's Half-Middleweight,1
Austria,Luge,Winter,Luge Men's Singles,5
Austria,Luge,Winter,Luge Mixed (Men)'s Doubles,16
Austria,Luge,Winter,Luge Women's Singles,6
Austria,Nordic Combined,Winter,Nordic Combined Men's Individual,4
Austria,Nordic Combined,Winter,"Nordic Combined Men's Large Hill / 10 km, Individual",1
Austria,Nordic Combined,Winter,Nordic Combined Men's Sprint,2
Austria,Nordic Combined,Winter,Nordic Combined Men's Team,22
Austria,Rowing,Summer,Rowing Men's Coxless Pairs,4
Austria,Rowing,Summer,Rowing Men's Double Sculls,4
Austria,Rowing,Summer,Rowing Men's Single Sculls,1
Austria,Sailing,Summer,Sailing Men's Windsurfer,1
Austria,Sailing,Summer,Sailing Mixed Multihull,6
Austria,Sailing,Summer,Sailing Mixed One Person Dinghy,3
Austria,Sailing,Summer,Sailing Mixed Two Person Keelboat,2
Austria,Shooting,Summer,"Shooting Men's Air Rifle, 10 metres",2
Austria,Shooting,Summer,"Shooting Men's Free Rifle, Three Positions, 300 metres",1
Austria,Shooting,Summer,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",2
Austria,Shooting,Summer,"Shooting Mixed Free Pistol, 50 metres",2
Austria,Shooting,Summer,"Shooting Mixed Rapid-Fire Pistol, 25 metres",1
Austria,Skeleton,Winter,Skeleton Men's Skeleton,1
Austria,Ski Jumping,Winter,"Ski Jumping Men's Large Hill, Individual",9
Austria,Ski Jumping,Winter,"Ski Jumping Men's Large Hill, Team",24
Austria,Ski Jumping,Winter,"Ski Jumping Men's Normal Hill, Individual",9
Austria,Ski Jumping,Winter,"Ski Jumping Women's Normal Hill, Individual",1
Austria,Snowboarding,Winter,Snowboarding Men's Parallel Giant Slalom,2
Austria,Snowboarding,Winter,Snowboarding Men's Parallel Slalom,1
Austria,Snowboarding,Winter,Snowboarding Women's Giant Slalom,1
Austria,Snowboarding,Winter,Snowboarding Women's Parallel Giant Slalom,1
Austria,Snowboarding,Winter,Snowboarding Women's Parallel Slalom,1
Austria,Speed Skating,Winter,"Speed Skating Men's 1,500 metres",1
Austria,Speed Skating,Winter,"Speed Skating Men's 10,000 metres",2
Austria,Speed Skating,Winter,"Speed Skating Women's 1,500 metres",1
Austria,Speed Skating,Winter,"Speed Skating Women's 3,000 metres",2
Austria,Swimming,Summer,"Swimming Men's 1,000 metres Freestyle",1
Austria,Swimming,Summer,Swimming Men's 100 metres Backstroke,1
Austria,Swimming,Summer,Swimming Men's 100 metres Freestyle,1
Austria,Swimming,Summer,Swimming Men's 200 metres Backstroke,2
Austria,Swimming,Summer,Swimming Men's 200 metres Freestyle,1
Austria,Swimming,Summer,Swimming Men's 200 metres Obstacle Course,1
Austria,Swimming,Summer,Swimming Men's 400 metres Freestyle,2
Austria,Swimming,Summer,Swimming Men's 440 yard Freestyle,1
Austria,Swimming,Summer,Swimming Men's 500 metres Freestyle,1
Austria,Swimming,Summer,Swimming Men's One Mile Freestyle,1
Austria,Swimming,Summer,Swimming Women's 100 metres Breaststroke,1
Austria,Swimming,Summer,Swimming Women's 4 x 100 metres Freestyle Relay,4
Austria,Tennis,Summer,Tennis Men's Doubles,2
Austria,Triathlon,Summer,Triathlon Women's Olympic Distance,1
Austria,Weightlifting,Summer,Weightlifting Men's Featherweight,2
Austria,Weightlifting,Summer,Weightlifting Men's Heavyweight,1
Austria,Weightlifting,Summer,Weightlifting Men's Light-Heavyweight,1
Austria,Weightlifting,Summer,Weightlifting Men's Lightweight,4
Austria,Weightlifting,Summer,Weightlifting Men's Middleweight,1
Austria,Weightlifting,Summer,"Weightlifting Men's Unlimited, One Hand",1
Austria,Weightlifting,Summer,"Weightlifting Men's Unlimited, Two Hands",1
Austria,Wrestling,Summer,"Wrestling Men's All-Around, Greco-Roman",1
Austria,Wrestling,Summer,"Wrestling Men's Heavyweight, Freestyle",1
Austria,Wrestling,Summer,"Wrestling Men's Heavyweight, Greco-Roman",2
Austria,Wrestling,Summer,"Wrestling Men's Lightweight, Greco-Roman",1
Austria,Wrestling,Summer,"Wrestling Men's Middleweight, Greco-Roman",1
Azerbaijan,Boxing,Summer,Boxing Men's Bantamweight,1
Azerbaijan,Boxing,Summer,Boxing Men's Featherweight,1
Azerbaijan,Boxing,Summer,Boxing Men's Flyweight,1
Azerbaijan,Boxing,Summer,Boxing Men's Heavyweight,1
Azerbaijan,Boxing,Summer,Boxing Men's Light-Welterweight,1
Azerbaijan,Boxing,Summer,Boxing Men's Middleweight,2
Azerbaijan,Boxing,Summer,Boxing Men's Super-Heavyweight,1
Azerbaijan,Canoeing,Summer,"Canoeing Men's Canadian Singles, 200 metres",1
Azerbaijan,Canoeing,Summer,"Canoeing Women's Kayak Singles, 200 metres",1
Azerbaijan,Judo,Summer,Judo Men's Half-Heavyweight,2
Azerbaijan,Judo,Summer,Judo Men's Lightweight,2
Azerbaijan,Shooting,Summer,Shooting Women's Skeet,2
Azerbaijan,Shooting,Summer,"Shooting Women's Sporting Pistol, 25 metres",1
Azerbaijan,Taekwondo,Summer,Taekwondo Men's Heavyweight,1
Azerbaijan,Taekwondo,Summer,Taekwondo Men's Welterweight,1
Azerbaijan,Taekwondo,Summer,Taekwondo Women's Flyweight,1
Azerbaijan,Weightlifting,Summer,Weightlifting Men's Bantamweight,1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Bantamweight, Freestyle",1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Featherweight, Freestyle",1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Featherweight, Greco-Roman",2
Azerbaijan,Wrestling,Summer,"Wrestling Men's Flyweight, Freestyle",1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Heavyweight, Freestyle",3
Azerbaijan,Wrestling,Summer,"Wrestling Men's Light-Heavyweight, Freestyle",2
Azerbaijan,Wrestling,Summer,"Wrestling Men's Lightweight, Freestyle",1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Lightweight, Greco-Roman",1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Middleweight, Freestyle",1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Middleweight, Greco-Roman",1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Super-Heavyweight, Greco-Roman",1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Welterweight, Freestyle",1
Azerbaijan,Wrestling,Summer,"Wrestling Men's Welterweight, Greco-Roman",2
Azerbaijan,Wrestling,Summer,"Wrestling Women's Featherweight, Freestyle",1
Azerbaijan,Wrestling,Summer,"Wrestling Women's Flyweight, Freestyle",3
Azerbaijan,Wrestling,Summer,"Wrestling Women's Lightweight, Freestyle",1
Bahamas,Athletics,Summer,Athletics Men's 4 x 400 metres Relay,20
Bahamas,Athletics,Summer,Athletics Men's Triple Jump,2
Bahamas,Athletics,Summer,Athletics Women's 200 metres,2
Bahamas,Athletics,Summer,Athletics Women's 4 x 100 metres Relay,10
Bahamas,Athletics,Summer,Athletics Women's 400 metres,2
Bahamas,Sailing,Summer,Sailing Mixed Two Person Keelboat,4
Bahrain,Athletics,Summer,"Athletics Women's 1,500 metres",1
Bahrain,Athletics,Summer,"Athletics Women's 3,000 metres Steeplechase",1
