Event,Sport,Season,Year,0
Aeronautics Mixed Aeronautics,Aeronautics,Summer,1936,1
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1936,66
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1948,79
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1988,56
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1992,66
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1994,56
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1998,38
Alpine Skiing Men's Combined,Alpine Skiing,Winter,2002,47
Alpine Skiing Men's Combined,Alpine Skiing,Winter,2006,59
Alpine Skiing Men's Combined,Alpine Skiing,Winter,2010,52
Alpine Skiing Men's Combined,Alpine Skiing,Winter,2014,50
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1948,111
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1952,82
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1956,75
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1960,63
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1964,84
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1968,86
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1972,55
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1976,74
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1980,47
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1984,61
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1988,51
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1992,55
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1994,55
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1998,43
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,2002,54
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,2006,55
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,2010,64
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,2014,49
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1952,83
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1956,95
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1960,65
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1964,96
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1968,101
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1972,73
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1976,97
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1980,78
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1984,108
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1988,117
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1992,131
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1994,61
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1998,62
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,2002,78
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,2006,82
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,2010,101
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,2014,107
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1948,77
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1952,86
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1956,89
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1960,63
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1964,96
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1968,100
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1972,72
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1976,94
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1980,79
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1984,101
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1988,109
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1992,119
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1994,57
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1998,65
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,2002,77
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,2006,93
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,2010,101
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,2014,115
Alpine Skiing Men's Super G,Alpine Skiing,Winter,1988,94
Alpine Skiing Men's Super G,Alpine Skiing,Winter,1992,118
Alpine Skiing Men's Super G,Alpine Skiing,Winter,1994,69
Alpine Skiing Men's Super G,Alpine Skiing,Winter,1998,45
Alpine Skiing Men's Super G,Alpine Skiing,Winter,2002,55
Alpine Skiing Men's Super G,Alpine Skiing,Winter,2006,63
Alpine Skiing Men's Super G,Alpine Skiing,Winter,2010,63
Alpine Skiing Men's Super G,Alpine Skiing,Winter,2014,63
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1936,37
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1948,28
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1988,39
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1992,40
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1994,41
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1998,29
Alpine Skiing Women's Combined,Alpine Skiing,Winter,2002,31
Alpine Skiing Women's Combined,Alpine Skiing,Winter,2006,43
Alpine Skiing Women's Combined,Alpine Skiing,Winter,2010,34
Alpine Skiing Women's Combined,Alpine Skiing,Winter,2014,39
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1948,37
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1952,42
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1956,47
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1960,42
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1964,43
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1968,39
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1972,41
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1976,38
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1980,28
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1984,32
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1988,35
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1992,30
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1994,48
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,1998,39
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,2002,38
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,2006,44
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,2010,44
Alpine Skiing Women's Downhill,Alpine Skiing,Winter,2014,41
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1952,45
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1956,49
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1960,44
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1964,46
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1968,47
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1972,42
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1976,45
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1980,48
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1984,54
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1988,64
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1992,69
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1994,47
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,1998,56
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,2002,68
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,2006,62
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,2010,86
Alpine Skiing Women's Giant Slalom,Alpine Skiing,Winter,2014,89
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1948,28
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1952,40
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1956,48
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1960,43
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1964,46
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1968,49
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1972,42
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1976,42
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1980,47
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1984,45
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1988,57
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1992,63
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1994,55
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,1998,57
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,2002,68
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,2006,64
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,2010,87
Alpine Skiing Women's Slalom,Alpine Skiing,Winter,2014,85
Alpine Skiing Women's Super G,Alpine Skiing,Winter,1988,46
Alpine Skiing Women's Super G,Alpine Skiing,Winter,1992,59
Alpine Skiing Women's Super G,Alpine Skiing,Winter,1994,55
Alpine Skiing Women's Super G,Alpine Skiing,Winter,1998,43
Alpine Skiing Women's Super G,Alpine Skiing,Winter,2002,43
Alpine Skiing Women's Super G,Alpine Skiing,Winter,2006,54
Alpine Skiing Women's Super G,Alpine Skiing,Winter,2010,53
Alpine Skiing Women's Super G,Alpine Skiing,Winter,2014,49
Alpinism Mixed Alpinism,Alpinism,Summer,1932,2
Alpinism Mixed Alpinism,Alpinism,Summer,1936,2
Alpinism Mixed Alpinism,Alpinism,Winter,1924,21
"Archery Men's Au Chapelet, 33 metres",Archery,Summer,1900,3
"Archery Men's Au Chapelet, 50 metres",Archery,Summer,1900,4
"Archery Men's Au Cordon Dore, 33 metres",Archery,Summer,1900,3
"Archery Men's Au Cordon Dore, 50 metres",Archery,Summer,1900,8
Archery Men's Championnat Du Monde,Archery,Summer,1900,2
Archery Men's Continental Style,Archery,Summer,1908,25
Archery Men's Double American Round,Archery,Summer,1904,22
Archery Men's Double York Round,Archery,Summer,1904,16
Archery Men's Double York Round,Archery,Summer,1908,27
Archery Men's Individual,Archery,Summer,1972,55
Archery Men's Individual,Archery,Summer,1976,37
Archery Men's Individual,Archery,Summer,1980,38
Archery Men's Individual,Archery,Summer,1984,62
Archery Men's Individual,Archery,Summer,1988,84
Archery Men's Individual,Archery,Summer,1992,75
Archery Men's Individual,Archery,Summer,1996,64
Archery Men's Individual,Archery,Summer,2000,64
Archery Men's Individual,Archery,Summer,2004,64
Archery Men's Individual,Archery,Summer,2008,64
Archery Men's Individual,Archery,Summer,2012,64
Archery Men's Individual,Archery,Summer,2016,64
"Archery Men's Pole Archery, Large Birds, Individual",Archery,Summer,1920,6
"Archery Men's Pole Archery, Large Birds, Team",Archery,Summer,1920,6
"Archery Men's Pole Archery, Small Birds, Individual",Archery,Summer,1920,6
"Archery Men's Pole Archery, Small Birds, Team",Archery,Summer,1920,6
Archery Men's Sur La Perche a La Herse,Archery,Summer,1900,3
Archery Men's Sur La Perche a La Pyramide,Archery,Summer,1900,3
"Archery Men's Target Archery, 28 metres, Individual",Archery,Summer,1920,2
"Archery Men's Target Archery, 28 metres, Team",Archery,Summer,1920,24
"Archery Men's Target Archery, 33 metres, Individual",Archery,Summer,1920,2
"Archery Men's Target Archery, 33 metres, Team",Archery,Summer,1920,16
"Archery Men's Target Archery, 50 metres, Individual",Archery,Summer,1920,2
"Archery Men's Target Archery, 50 metres, Team",Archery,Summer,1920,16
Archery Men's Team,Archery,Summer,1988,66
Archery Men's Team,Archery,Summer,1992,60
Archery Men's Team,Archery,Summer,1996,45
Archery Men's Team,Archery,Summer,2000,42
Archery Men's Team,Archery,Summer,2004,39
Archery Men's Team,Archery,Summer,2008,36
Archery Men's Team,Archery,Summer,2012,36
Archery Men's Team,Archery,Summer,2016,36
Archery Men's Team Round,Archery,Summer,1904,16
Archery Men's Unknown Event,Archery,Summer,1900,6
Archery Women's Double Columbia Round,Archery,Summer,1904,6
Archery Women's Double National Round,Archery,Summer,1904,6
Archery Women's Double National Round,Archery,Summer,1908,25
Archery Women's Individual,Archery,Summer,1972,40
Archery Women's Individual,Archery,Summer,1976,27
Archery Women's Individual,Archery,Summer,1980,29
Archery Women's Individual,Archery,Summer,1984,47
Archery Women's Individual,Archery,Summer,1988,62
Archery Women's Individual,Archery,Summer,1992,61
Archery Women's Individual,Archery,Summer,1996,64
Archery Women's Individual,Archery,Summer,2000,64
Archery Women's Individual,Archery,Summer,2004,64
Archery Women's Individual,Archery,Summer,2008,64
Archery Women's Individual,Archery,Summer,2012,64
Archery Women's Individual,Archery,Summer,2016,64
Archery Women's Team,Archery,Summer,1988,45
Archery Women's Team,Archery,Summer,1992,51
Archery Women's Team,Archery,Summer,1996,45
Archery Women's Team,Archery,Summer,2000,36
Archery Women's Team,Archery,Summer,2004,45
Archery Women's Team,Archery,Summer,2008,30
Archery Women's Team,Archery,Summer,2012,36
Archery Women's Team,Archery,Summer,2016,36
Archery Women's Team Round,Archery,Summer,1904,4
Art Competitions Mixed Architecture,Art Competitions,Summer,1912,8
Art Competitions Mixed Architecture,Art Competitions,Summer,1920,1
Art Competitions Mixed Architecture,Art Competitions,Summer,1924,21
"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions,Summer,1928,57
"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions,Summer,1932,5
"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions,Summer,1936,34
"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions,Summer,1948,12
"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions,Summer,1928,57
"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions,Summer,1932,10
"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions,Summer,1936,21
"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions,Summer,1948,6
"Art Competitions Mixed Architecture, Unknown Event",Art Competitions,Summer,1932,47
"Art Competitions Mixed Architecture, Unknown Event",Art Competitions,Summer,1936,38
"Art Competitions Mixed Architecture, Unknown Event",Art Competitions,Summer,1948,37
Art Competitions Mixed Literature,Art Competitions,Summer,1912,6
Art Competitions Mixed Literature,Art Competitions,Summer,1920,3
Art Competitions Mixed Literature,Art Competitions,Summer,1924,32
Art Competitions Mixed Literature,Art Competitions,Summer,1932,18
"Art Competitions Mixed Literature, Dramatic Works",Art Competitions,Summer,1928,5
"Art Competitions Mixed Literature, Dramatic Works",Art Competitions,Summer,1948,3
"Art Competitions Mixed Literature, Epic Works",Art Competitions,Summer,1928,15
"Art Competitions Mixed Literature, Epic Works",Art Competitions,Summer,1936,3
"Art Competitions Mixed Literature, Epic Works",Art Competitions,Summer,1948,8
"Art Competitions Mixed Literature, Lyric Works",Art Competitions,Summer,1928,19
"Art Competitions Mixed Literature, Lyric Works",Art Competitions,Summer,1936,3
"Art Competitions Mixed Literature, Lyric Works",Art Competitions,Summer,1948,11
"Art Competitions Mixed Literature, Unknown Event",Art Competitions,Summer,1936,35
"Art Competitions Mixed Literature, Unknown Event",Art Competitions,Summer,1948,4
Art Competitions Mixed Music,Art Competitions,Summer,1912,5
Art Competitions Mixed Music,Art Competitions,Summer,1920,2
Art Competitions Mixed Music,Art Competitions,Summer,1924,7
Art Competitions Mixed Music,Art Competitions,Summer,1932,39
"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions,Summer,1928,9
"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions,Summer,1936,11
"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions,Summer,1948,14
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Art Competitions,Summer,1928,5
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Art Competitions,Summer,1936,3
"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions,Summer,1928,5
"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions,Summer,1936,1
"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions,Summer,1948,5
"Art Competitions Mixed Music, Unknown Event",Art Competitions,Summer,1936,18
"Art Competitions Mixed Music, Vocals",Art Competitions,Summer,1948,5
Art Competitions Mixed Painting,Art Competitions,Summer,1912,4
Art Competitions Mixed Painting,Art Competitions,Summer,1920,2
Art Competitions Mixed Painting,Art Competitions,Summer,1924,64
"Art Competitions Mixed Painting, Applied Arts",Art Competitions,Summer,1936,16
"Art Competitions Mixed Painting, Applied Arts",Art Competitions,Summer,1948,32
"Art Competitions Mixed Painting, Drawings And Water Colors",Art Competitions,Summer,1928,49
"Art Competitions Mixed Painting, Drawings And Water Colors",Art Competitions,Summer,1932,7
"Art Competitions Mixed Painting, Drawings And Water Colors",Art Competitions,Summer,1936,7
"Art Competitions Mixed Painting, Graphic Arts",Art Competitions,Summer,1928,26
"Art Competitions Mixed Painting, Graphic Arts",Art Competitions,Summer,1932,7
"Art Competitions Mixed Painting, Graphic Arts",Art Competitions,Summer,1936,2
"Art Competitions Mixed Painting, Graphic Arts",Art Competitions,Summer,1948,25
"Art Competitions Mixed Painting, Paintings",Art Competitions,Summer,1928,123
"Art Competitions Mixed Painting, Paintings",Art Competitions,Summer,1932,7
"Art Competitions Mixed Painting, Paintings",Art Competitions,Summer,1936,33
"Art Competitions Mixed Painting, Paintings",Art Competitions,Summer,1948,43
"Art Competitions Mixed Painting, Unknown Event",Art Competitions,Summer,1932,312
"Art Competitions Mixed Painting, Unknown Event",Art Competitions,Summer,1936,191
"Art Competitions Mixed Painting, Unknown Event",Art Competitions,Summer,1948,80
Art Competitions Mixed Sculpturing,Art Competitions,Summer,1912,8
Art Competitions Mixed Sculpturing,Art Competitions,Summer,1920,3
Art Competitions Mixed Sculpturing,Art Competitions,Summer,1924,68
"Art Competitions Mixed Sculpturing, Medals",Art Competitions,Summer,1936,17
"Art Competitions Mixed Sculpturing, Medals And Plaques",Art Competitions,Summer,1948,8
"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions,Summer,1928,21
"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions,Summer,1932,3
"Art Competitions Mixed Sculpturing, Reliefs",Art Competitions,Summer,1936,5
"Art Competitions Mixed Sculpturing, Reliefs",Art Competitions,Summer,1948,1
"Art Competitions Mixed Sculpturing, Statues",Art Competitions,Summer,1928,70
"Art Competitions Mixed Sculpturing, Statues",Art Competitions,Summer,1932,10
"Art Competitions Mixed Sculpturing, Statues",Art Competitions,Summer,1936,28
"Art Competitions Mixed Sculpturing, Statues",Art Competitions,Summer,1948,41
"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions,Summer,1932,140
"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions,Summer,1936,89
"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions,Summer,1948,36
Art Competitions Mixed Unknown Event,Art Competitions,Summer,1932,15
"Athletics Men's 1,500 metres",Athletics,Summer,1896,8
"Athletics Men's 1,500 metres",Athletics,Summer,1900,9
"Athletics Men's 1,500 metres",Athletics,Summer,1904,9
"Athletics Men's 1,500 metres",Athletics,Summer,1906,20
"Athletics Men's 1,500 metres",Athletics,Summer,1908,44
"Athletics Men's 1,500 metres",Athletics,Summer,1912,45
"Athletics Men's 1,500 metres",Athletics,Summer,1920,29
"Athletics Men's 1,500 metres",Athletics,Summer,1924,40
"Athletics Men's 1,500 metres",Athletics,Summer,1928,44
"Athletics Men's 1,500 metres",Athletics,Summer,1932,24
"Athletics Men's 1,500 metres",Athletics,Summer,1936,43
"Athletics Men's 1,500 metres",Athletics,Summer,1948,36
"Athletics Men's 1,500 metres",Athletics,Summer,1952,52
"Athletics Men's 1,500 metres",Athletics,Summer,1956,37
"Athletics Men's 1,500 metres",Athletics,Summer,1960,39
"Athletics Men's 1,500 metres",Athletics,Summer,1964,43
"Athletics Men's 1,500 metres",Athletics,Summer,1968,54
"Athletics Men's 1,500 metres",Athletics,Summer,1972,66
"Athletics Men's 1,500 metres",Athletics,Summer,1976,42
"Athletics Men's 1,500 metres",Athletics,Summer,1980,40
"Athletics Men's 1,500 metres",Athletics,Summer,1984,59
"Athletics Men's 1,500 metres",Athletics,Summer,1988,59
"Athletics Men's 1,500 metres",Athletics,Summer,1992,51
"Athletics Men's 1,500 metres",Athletics,Summer,1996,57
"Athletics Men's 1,500 metres",Athletics,Summer,2000,41
"Athletics Men's 1,500 metres",Athletics,Summer,2004,38
"Athletics Men's 1,500 metres",Athletics,Summer,2008,48
"Athletics Men's 1,500 metres",Athletics,Summer,2012,43
"Athletics Men's 1,500 metres",Athletics,Summer,2016,41
"Athletics Men's 1,500 metres Walk",Athletics,Summer,1906,9
"Athletics Men's 1,600 metres Medley Relay",Athletics,Summer,1908,29
Athletics Men's 10 kilometres Walk,Athletics,Summer,1912,23
Athletics Men's 10 kilometres Walk,Athletics,Summer,1920,23
Athletics Men's 10 kilometres Walk,Athletics,Summer,1924,24
Athletics Men's 10 kilometres Walk,Athletics,Summer,1948,19
Athletics Men's 10 kilometres Walk,Athletics,Summer,1952,23
Athletics Men's 10 mile Walk,Athletics,Summer,1908,25
"Athletics Men's 10,000 metres",Athletics,Summer,1912,30
"Athletics Men's 10,000 metres",Athletics,Summer,1920,34
"Athletics Men's 10,000 metres",Athletics,Summer,1924,32
"Athletics Men's 10,000 metres",Athletics,Summer,1928,24
"Athletics Men's 10,000 metres",Athletics,Summer,1932,16
"Athletics Men's 10,000 metres",Athletics,Summer,1936,30
"Athletics Men's 10,000 metres",Athletics,Summer,1948,27
"Athletics Men's 10,000 metres",Athletics,Summer,1952,33
"Athletics Men's 10,000 metres",Athletics,Summer,1956,25
"Athletics Men's 10,000 metres",Athletics,Summer,1960,33
"Athletics Men's 10,000 metres",Athletics,Summer,1964,38
"Athletics Men's 10,000 metres",Athletics,Summer,1968,37
"Athletics Men's 10,000 metres",Athletics,Summer,1972,52
"Athletics Men's 10,000 metres",Athletics,Summer,1976,41
"Athletics Men's 10,000 metres",Athletics,Summer,1980,40
"Athletics Men's 10,000 metres",Athletics,Summer,1984,45
"Athletics Men's 10,000 metres",Athletics,Summer,1988,52
"Athletics Men's 10,000 metres",Athletics,Summer,1992,56
"Athletics Men's 10,000 metres",Athletics,Summer,1996,46
"Athletics Men's 10,000 metres",Athletics,Summer,2000,34
"Athletics Men's 10,000 metres",Athletics,Summer,2004,24
"Athletics Men's 10,000 metres",Athletics,Summer,2008,38
"Athletics Men's 10,000 metres",Athletics,Summer,2012,29
"Athletics Men's 10,000 metres",Athletics,Summer,2016,34
Athletics Men's 100 metres,Athletics,Summer,1896,15
Athletics Men's 100 metres,Athletics,Summer,1900,20
Athletics Men's 100 metres,Athletics,Summer,1904,11
Athletics Men's 100 metres,Athletics,Summer,1906,42
Athletics Men's 100 metres,Athletics,Summer,1908,60
Athletics Men's 100 metres,Athletics,Summer,1912,70
Athletics Men's 100 metres,Athletics,Summer,1920,60
Athletics Men's 100 metres,Athletics,Summer,1924,86
Athletics Men's 100 metres,Athletics,Summer,1928,76
Athletics Men's 100 metres,Athletics,Summer,1932,33
Athletics Men's 100 metres,Athletics,Summer,1936,63
Athletics Men's 100 metres,Athletics,Summer,1948,63
Athletics Men's 100 metres,Athletics,Summer,1952,72
Athletics Men's 100 metres,Athletics,Summer,1956,65
Athletics Men's 100 metres,Athletics,Summer,1960,61
Athletics Men's 100 metres,Athletics,Summer,1964,73
Athletics Men's 100 metres,Athletics,Summer,1968,65
Athletics Men's 100 metres,Athletics,Summer,1972,85
Athletics Men's 100 metres,Athletics,Summer,1976,63
Athletics Men's 100 metres,Athletics,Summer,1980,65
Athletics Men's 100 metres,Athletics,Summer,1984,82
Athletics Men's 100 metres,Athletics,Summer,1988,102
Athletics Men's 100 metres,Athletics,Summer,1992,81
Athletics Men's 100 metres,Athletics,Summer,1996,106
Athletics Men's 100 metres,Athletics,Summer,2000,97
Athletics Men's 100 metres,Athletics,Summer,2004,82
Athletics Men's 100 metres,Athletics,Summer,2008,79
Athletics Men's 100 metres,Athletics,Summer,2012,73
Athletics Men's 100 metres,Athletics,Summer,2016,83
Athletics Men's 110 metres Hurdles,Athletics,Summer,1896,8
Athletics Men's 110 metres Hurdles,Athletics,Summer,1900,9
Athletics Men's 110 metres Hurdles,Athletics,Summer,1904,6
Athletics Men's 110 metres Hurdles,Athletics,Summer,1906,15
Athletics Men's 110 metres Hurdles,Athletics,Summer,1908,25
Athletics Men's 110 metres Hurdles,Athletics,Summer,1912,22
Athletics Men's 110 metres Hurdles,Athletics,Summer,1920,24
Athletics Men's 110 metres Hurdles,Athletics,Summer,1924,31
Athletics Men's 110 metres Hurdles,Athletics,Summer,1928,41
Athletics Men's 110 metres Hurdles,Athletics,Summer,1932,17
Athletics Men's 110 metres Hurdles,Athletics,Summer,1936,31
Athletics Men's 110 metres Hurdles,Athletics,Summer,1948,28
Athletics Men's 110 metres Hurdles,Athletics,Summer,1952,30
Athletics Men's 110 metres Hurdles,Athletics,Summer,1956,24
Athletics Men's 110 metres Hurdles,Athletics,Summer,1960,36
Athletics Men's 110 metres Hurdles,Athletics,Summer,1964,37
Athletics Men's 110 metres Hurdles,Athletics,Summer,1968,33
Athletics Men's 110 metres Hurdles,Athletics,Summer,1972,39
Athletics Men's 110 metres Hurdles,Athletics,Summer,1976,24
Athletics Men's 110 metres Hurdles,Athletics,Summer,1980,23
Athletics Men's 110 metres Hurdles,Athletics,Summer,1984,26
Athletics Men's 110 metres Hurdles,Athletics,Summer,1988,41
Athletics Men's 110 metres Hurdles,Athletics,Summer,1992,39
Athletics Men's 110 metres Hurdles,Athletics,Summer,1996,62
Athletics Men's 110 metres Hurdles,Athletics,Summer,2000,44
Athletics Men's 110 metres Hurdles,Athletics,Summer,2004,47
Athletics Men's 110 metres Hurdles,Athletics,Summer,2008,42
Athletics Men's 110 metres Hurdles,Athletics,Summer,2012,53
Athletics Men's 110 metres Hurdles,Athletics,Summer,2016,39
"Athletics Men's 2,500 metres Steeplechase",Athletics,Summer,1900,6
"Athletics Men's 2,590 metres Steeplechase",Athletics,Summer,1904,7
Athletics Men's 20 kilometres Walk,Athletics,Summer,1956,21
Athletics Men's 20 kilometres Walk,Athletics,Summer,1960,36
Athletics Men's 20 kilometres Walk,Athletics,Summer,1964,30
Athletics Men's 20 kilometres Walk,Athletics,Summer,1968,34
Athletics Men's 20 kilometres Walk,Athletics,Summer,1972,24
Athletics Men's 20 kilometres Walk,Athletics,Summer,1976,38
Athletics Men's 20 kilometres Walk,Athletics,Summer,1980,34
Athletics Men's 20 kilometres Walk,Athletics,Summer,1984,38
Athletics Men's 20 kilometres Walk,Athletics,Summer,1988,53
Athletics Men's 20 kilometres Walk,Athletics,Summer,1992,42
Athletics Men's 20 kilometres Walk,Athletics,Summer,1996,60
Athletics Men's 20 kilometres Walk,Athletics,Summer,2000,47
Athletics Men's 20 kilometres Walk,Athletics,Summer,2004,48
Athletics Men's 20 kilometres Walk,Athletics,Summer,2008,51
Athletics Men's 20 kilometres Walk,Athletics,Summer,2012,56
Athletics Men's 20 kilometres Walk,Athletics,Summer,2016,74
Athletics Men's 200 metres,Athletics,Summer,1900,8
Athletics Men's 200 metres,Athletics,Summer,1904,5
Athletics Men's 200 metres,Athletics,Summer,1908,43
Athletics Men's 200 metres,Athletics,Summer,1912,61
Athletics Men's 200 metres,Athletics,Summer,1920,48
