,NOC,Year,Count
1668,KEN,1984,67
1669,KEN,1988,88
1670,KEN,1992,55
1671,KEN,1996,54
1672,KEN,1998,1
1673,KEN,2000,59
1674,KEN,2002,2
1675,KEN,2004,46
1676,KEN,2006,1
1677,KEN,2008,47
1678,KEN,2012,51
1679,KEN,2016,80
1680,KGZ,1994,2
1681,KGZ,1996,53
1682,KGZ,1998,2
1683,KGZ,2000,71
1684,KGZ,2002,4
1685,KGZ,2004,32
1686,KGZ,2006,2
1687,KGZ,2008,22
1688,KGZ,2010,3
1689,KGZ,2012,15
1690,KGZ,2014,2
1691,KGZ,2016,19
1692,KIR,2004,3
1693,KIR,2008,2
1694,KIR,2012,3
1695,KIR,2016,3
1696,KOR,1948,55
1697,KOR,1952,22
1698,KOR,1956,46
1699,KOR,1960,69
1700,KOR,1964,256
1701,KOR,1968,80
1702,KOR,1972,54
1703,KOR,1976,60
1704,KOR,1980,24
1705,KOR,1984,278
1706,KOR,1988,607
1707,KOR,1992,379
1708,KOR,1994,45
1709,KOR,1996,417
1710,KOR,1998,79
1711,KOR,2000,359
1712,KOR,2002,87
1713,KOR,2004,344
1714,KOR,2006,85
1715,KOR,2008,329
1716,KOR,2010,84
1717,KOR,2012,312
1718,KOR,2014,130
1719,KOR,2016,263
1720,KOS,2016,8
1721,KSA,1972,14
1722,KSA,1976,19
1723,KSA,1984,42
1724,KSA,1988,13
1725,KSA,1992,17
1726,KSA,1996,34
1727,KSA,2000,23
1728,KSA,2004,16
1729,KSA,2008,18
1730,KSA,2012,23
1731,KSA,2016,11
1732,KUW,1968,2
1733,KUW,1972,4
1734,KUW,1976,21
1735,KUW,1980,67
1736,KUW,1984,31
1737,KUW,1988,34
1738,KUW,1992,37
1739,KUW,1996,27
1740,KUW,2000,30
1741,KUW,2004,11
1742,KUW,2008,8
1743,KUW,2012,12
1744,LAO,1980,19
1745,LAO,1988,3
1746,LAO,1992,7
1747,LAO,1996,5
1748,LAO,2000,3
1749,LAO,2004,5
1750,LAO,2008,4
1751,LAO,2012,3
1752,LAO,2016,5
1753,LAT,1924,54
1754,LAT,1928,27
1755,LAT,1932,13
1756,LAT,1936,69
1757,LAT,1992,78
1758,LAT,1994,42
1759,LAT,1996,55
1760,LAT,1998,49
1761,LAT,2000,60
1762,LAT,2002,68
1763,LAT,2004,45
1764,LAT,2006,92
1765,LAT,2008,53
1766,LAT,2010,81
1767,LAT,2012,50
1768,LAT,2014,82
1769,LAT,2016,33
1770,LBA,1968,1
1771,LBA,1980,38
1772,LBA,1988,7
1773,LBA,1992,5
1774,LBA,1996,5
1775,LBA,2000,3
1776,LBA,2004,8
1777,LBA,2008,6
1778,LBA,2012,4
1779,LBA,2016,7
1780,LBR,1956,11
1781,LBR,1960,6
1782,LBR,1964,2
1783,LBR,1972,5
1784,LBR,1984,10
1785,LBR,1988,11
1786,LBR,1996,7
1787,LBR,2000,10
1788,LBR,2004,2
1789,LBR,2008,4
1790,LBR,2012,3
1791,LBR,2016,3
1792,LCA,1996,8
1793,LCA,2000,5
1794,LCA,2004,2
1795,LCA,2008,4
1796,LCA,2012,4
1797,LCA,2016,5
1798,LES,1972,2
1799,LES,1980,7
1800,LES,1984,5
1801,LES,1988,6
1802,LES,1992,8
1803,LES,1996,11
1804,LES,2000,6
1805,LES,2004,3
1806,LES,2008,5
1807,LES,2012,4
1808,LES,2016,9
1809,LIB,1948,12
1810,LIB,1952,12
1811,LIB,1956,8
1812,LIB,1960,27
1813,LIB,1964,20
1814,LIB,1968,21
1815,LIB,1972,38
1816,LIB,1976,5
1817,LIB,1980,26
1818,LIB,1984,38
1819,LIB,1988,40
1820,LIB,1992,26
1821,LIB,1996,1
1822,LIB,2000,6
1823,LIB,2002,3
1824,LIB,2004,5
1825,LIB,2006,7
1826,LIB,2008,6
1827,LIB,2010,6
1828,LIB,2012,10
1829,LIB,2014,3
1830,LIB,2016,9
1831,LIE,1936,12
1832,LIE,1948,18
1833,LIE,1952,2
1834,LIE,1956,14
1835,LIE,1960,17
1836,LIE,1964,15
1837,LIE,1968,20
1838,LIE,1972,22
1839,LIE,1976,29
1840,LIE,1980,17
1841,LIE,1984,27
1842,LIE,1988,52
1843,LIE,1992,26
1844,LIE,1994,25
1845,LIE,1996,2
1846,LIE,1998,19
1847,LIE,2000,2
1848,LIE,2002,18
1849,LIE,2004,1
1850,LIE,2006,12
1851,LIE,2008,2
1852,LIE,2010,5
1853,LIE,2012,4
1854,LIE,2014,5
1855,LIE,2016,3
1856,LTU,1924,13
1857,LTU,1928,17
1858,LTU,1992,67
1859,LTU,1994,13
1860,LTU,1996,81
1861,LTU,1998,18
1862,LTU,2000,77
1863,LTU,2002,21
1864,LTU,2004,70
1865,LTU,2006,14
1866,LTU,2008,78
1867,LTU,2010,13
1868,LTU,2012,72
1869,LTU,2014,20
1870,LTU,2016,80
1871,LUX,1900,1
1872,LUX,1912,44
1873,LUX,1920,35
1874,LUX,1924,122
1875,LUX,1928,112
1876,LUX,1932,11
1877,LUX,1936,134
1878,LUX,1948,115
1879,LUX,1952,101
1880,LUX,1956,27
1881,LUX,1960,117
1882,LUX,1964,27
1883,LUX,1968,7
1884,LUX,1972,15
1885,LUX,1976,9
1886,LUX,1980,4
1887,LUX,1984,5
1888,LUX,1988,14
1889,LUX,1992,13
1890,LUX,1994,5
1891,LUX,1996,7
1892,LUX,1998,1
1893,LUX,2000,9
1894,LUX,2004,14
1895,LUX,2006,1
1896,LUX,2008,19
1897,LUX,2012,11
1898,LUX,2014,1
1899,LUX,2016,15
1900,MAD,1964,4
1901,MAD,1968,6
1902,MAD,1972,13
1903,MAD,1980,18
1904,MAD,1984,5
1905,MAD,1992,17
1906,MAD,1996,14
1907,MAD,2000,13
1908,MAD,2004,8
1909,MAD,2006,2
1910,MAD,2008,6
1911,MAD,2012,7
1912,MAD,2016,6
1913,MAL,1956,34
1914,MAL,1960,11
1915,MAR,1960,111
1916,MAR,1964,21
1917,MAR,1968,33
1918,MAR,1972,39
1919,MAR,1976,9
1920,MAR,1984,42
1921,MAR,1988,35
1922,MAR,1992,68
1923,MAR,1996,38
1924,MAR,2000,55
1925,MAR,2004,57
1926,MAR,2008,49
1927,MAR,2010,2
1928,MAR,2012,67
1929,MAR,2014,4
1930,MAR,2016,52
1931,MAS,1964,81
1932,MAS,1968,35
1933,MAS,1972,57
1934,MAS,1976,25
1935,MAS,1984,27
1936,MAS,1988,17
1937,MAS,1992,30
1938,MAS,1996,43
1939,MAS,2000,55
1940,MAS,2004,38
1941,MAS,2008,42
1942,MAS,2012,38
1943,MAS,2016,42
1944,MAW,1972,18
1945,MAW,1984,23
1946,MAW,1988,22
1947,MAW,1992,4
1948,MAW,1996,2
1949,MAW,2000,2
1950,MAW,2004,4
1951,MAW,2008,4
1952,MAW,2012,3
1953,MAW,2016,5
1954,MDA,1994,4
1955,MDA,1996,50
1956,MDA,1998,4
1957,MDA,2000,35
1958,MDA,2002,9
1959,MDA,2004,33
1960,MDA,2006,10
1961,MDA,2008,30
1962,MDA,2010,11
1963,MDA,2012,20
1964,MDA,2014,5
1965,MDA,2016,23
1966,MDV,1988,9
1967,MDV,1992,10
1968,MDV,1996,9
1969,MDV,2000,4
1970,MDV,2004,4
1971,MDV,2008,4
1972,MDV,2012,5
1973,MDV,2016,4
1974,MEX,1900,3
1975,MEX,1924,28
1976,MEX,1928,60
1977,MEX,1932,100
1978,MEX,1936,32
1979,MEX,1948,149
1980,MEX,1952,85
1981,MEX,1956,36
1982,MEX,1960,110
1983,MEX,1964,128
1984,MEX,1968,446
1985,MEX,1972,281
1986,MEX,1976,137
1987,MEX,1980,74
1988,MEX,1984,158
1989,MEX,1988,165
1990,MEX,1992,174
1991,MEX,1994,1
1992,MEX,1996,111
1993,MEX,2000,98
1994,MEX,2002,3
1995,MEX,2004,137
1996,MEX,2008,103
1997,MEX,2010,2
1998,MEX,2012,119
1999,MEX,2014,1
2000,MEX,2016,139
2001,MGL,1964,62
2002,MGL,1968,48
2003,MGL,1972,52
2004,MGL,1976,33
2005,MGL,1980,67
2006,MGL,1984,12
2007,MGL,1988,41
2008,MGL,1992,49
2009,MGL,1994,2
2010,MGL,1996,18
2011,MGL,1998,3
2012,MGL,2000,23
2013,MGL,2002,4
2014,MGL,2004,21
2015,MGL,2006,2
2016,MGL,2008,31
2017,MGL,2010,2
2018,MGL,2012,32
2019,MGL,2014,2
2020,MGL,2016,46
2021,MHL,2008,5
2022,MHL,2012,4
2023,MHL,2016,5
2024,MKD,1996,16
2025,MKD,1998,3
2026,MKD,2000,15
2027,MKD,2002,4
2028,MKD,2004,14
2029,MKD,2006,5
2030,MKD,2008,7
2031,MKD,2010,4
2032,MKD,2012,4
2033,MKD,2014,6
2034,MKD,2016,6
2035,MLI,1964,2
2036,MLI,1968,2
2037,MLI,1972,3
2038,MLI,1980,7
2039,MLI,1984,5
2040,MLI,1988,8
2041,MLI,1992,6
2042,MLI,1996,4
2043,MLI,2000,5
2044,MLI,2004,21
2045,MLI,2008,17
2046,MLI,2012,6
2047,MLI,2016,6
2048,MLT,1928,9
2049,MLT,1936,11
2050,MLT,1948,1
2051,MLT,1960,13
2052,MLT,1968,1
2053,MLT,1972,5
2054,MLT,1980,12
2055,MLT,1984,7
2056,MLT,1988,6
2057,MLT,1992,8
2058,MLT,1996,10
2059,MLT,2000,7
2060,MLT,2004,7
2061,MLT,2008,6
2062,MLT,2012,5
2063,MLT,2014,2
2064,MLT,2016,8
2065,MNE,2008,20
2066,MNE,2010,2
2067,MNE,2012,34
2068,MNE,2014,3
2069,MNE,2016,35
2070,MON,1920,7
2071,MON,1924,9
2072,MON,1928,12
2073,MON,1932,1
2074,MON,1936,11
2075,MON,1948,4
2076,MON,1952,10
2077,MON,1960,13
2078,MON,1964,1
2079,MON,1968,2
2080,MON,1972,5
2081,MON,1976,10
2082,MON,1984,10
2083,MON,1988,13
2084,MON,1992,12
2085,MON,1994,7
2086,MON,1996,4
2087,MON,1998,6
2088,MON,2000,4
2089,MON,2002,7
2090,MON,2004,3
2091,MON,2006,10
2092,MON,2008,5
2093,MON,2010,6
2094,MON,2012,6
2095,MON,2014,11
2096,MON,2016,8
2097,MOZ,1980,16
2098,MOZ,1984,14
2099,MOZ,1988,12
2100,MOZ,1992,7
2101,MOZ,1996,3
2102,MOZ,2000,4
2103,MOZ,2004,4
2104,MOZ,2008,4
2105,MOZ,2012,6
2106,MOZ,2016,8
2107,MRI,1984,7
2108,MRI,1988,11
2109,MRI,1992,22
2110,MRI,1996,36
2111,MRI,2000,26
2112,MRI,2004,9
2113,MRI,2008,11
2114,MRI,2012,11
2115,MRI,2016,11
2116,MTN,1984,2
2117,MTN,1988,7
2118,MTN,1992,6
2119,MTN,1996,4
2120,MTN,2000,2
2121,MTN,2004,2
2122,MTN,2008,2
2123,MTN,2012,2
2124,MTN,2016,2
2125,MYA,1948,5
2126,MYA,1952,5
2127,MYA,1956,12
2128,MYA,1960,10
2129,MYA,1964,12
2130,MYA,1968,4
2131,MYA,1972,19
2132,MYA,1980,2
2133,MYA,1984,1
2134,MYA,1988,3
2135,MYA,1992,5
2136,MYA,1996,3
2137,MYA,2000,7
2138,MYA,2004,2
2139,MYA,2008,7
2140,MYA,2012,6
2141,MYA,2016,8
2142,NAM,1992,10
2143,NAM,1996,10
2144,NAM,2000,16
2145,NAM,2004,10
2146,NAM,2008,11
2147,NAM,2012,9
2148,NAM,2016,11
2149,NBO,1956,2
2150,NCA,1968,16
2151,NCA,1972,10
2152,NCA,1976,25
2153,NCA,1980,6
2154,NCA,1984,5
2155,NCA,1992,9
2156,NCA,1996,28
2157,NCA,2000,6
2158,NCA,2004,6
2159,NCA,2008,7
2160,NCA,2012,6
2161,NCA,2016,5
2162,NED,1900,73
2163,NED,1906,49
2164,NED,1908,218
2165,NED,1912,45
2166,NED,1920,213
2167,NED,1924,246
2168,NED,1928,395
2169,NED,1932,80
2170,NED,1936,246
2171,NED,1948,202
2172,NED,1952,203
2173,NED,1956,17
2174,NED,1960,173
2175,NED,1964,170
2176,NED,1968,166
2177,NED,1972,225
2178,NED,1976,198
2179,NED,1980,159
2180,NED,1984,214
2181,NED,1988,227
2182,NED,1992,297
2183,NED,1994,43
2184,NED,1996,290
2185,NED,1998,48
2186,NED,2000,285
2187,NED,2002,49
2188,NED,2004,264
2189,NED,2006,63
2190,NED,2008,283
2191,NED,2010,65
2192,NED,2012,222
2193,NED,2014,82
2194,NED,2016,329
2195,NEP,1924,1
2196,NEP,1964,6
2197,NEP,1972,2
2198,NEP,1976,1
2199,NEP,1980,10
2200,NEP,1984,10
2201,NEP,1988,20
2202,NEP,1992,2
2203,NEP,1996,6
2204,NEP,2000,5
2205,NEP,2002,2
2206,NEP,2004,6
2207,NEP,2006,1
2208,NEP,2008,8
2209,NEP,2010,1
2210,NEP,2012,5
2211,NEP,2014,1
2212,NEP,2016,7
2213,NFL,1904,1
2214,NGR,1952,15
2215,NGR,1956,14
2216,NGR,1960,15
2217,NGR,1964,19
2218,NGR,1968,46
2219,NGR,1972,36
2220,NGR,1980,56
2221,NGR,1984,36
2222,NGR,1988,86
2223,NGR,1992,72
2224,NGR,1996,84
2225,NGR,2000,100
2226,NGR,2004,79
2227,NGR,2008,89
2228,NGR,2012,58
2229,NGR,2016,77
2230,NIG,1964,1
2231,NIG,1968,2
2232,NIG,1972,4
2233,NIG,1984,4
2234,NIG,1988,6
2235,NIG,1992,3
2236,NIG,1996,3
2237,NIG,2000,4
2238,NIG,2004,4
2239,NIG,2008,4
2240,NIG,2012,6
2241,NIG,2016,6
2242,NOR,1900,29
2243,NOR,1904,6
2244,NOR,1906,55
2245,NOR,1908,103
2246,NOR,1912,263
2247,NOR,1920,267
2248,NOR,1924,141
2249,NOR,1928,113
2250,NOR,1932,41
2251,NOR,1936,131
2252,NOR,1948,172
2253,NOR,1952,291
2254,NOR,1956,106
2255,NOR,1960,105
2256,NOR,1964,133
2257,NOR,1968,193
2258,NOR,1972,275
2259,NOR,1976,160
2260,NOR,1980,100
2261,NOR,1984,229
2262,NOR,1988,194
2263,NOR,1992,270
2264,NOR,1994,159
2265,NOR,1996,116
2266,NOR,1998,149
2267,NOR,2000,115
2268,NOR,2002,166
2269,NOR,2004,60
2270,NOR,2006,161
2271,NOR,2008,102
2272,NOR,2010,190
2273,NOR,2012,69
2274,NOR,2014,219
2275,NOR,2016,77
2276,NRU,1996,3
2277,NRU,2000,2
2278,NRU,2004,3
2279,NRU,2008,1
2280,NRU,2012,2
2281,NRU,2016,2
2282,NZL,1900,1
2283,NZL,1920,6
2284,NZL,1924,6
2285,NZL,1928,13
2286,NZL,1932,29
2287,NZL,1936,9
2288,NZL,1948,8
2289,NZL,1952,26
2290,NZL,1956,57
2291,NZL,1960,59
2292,NZL,1964,88
2293,NZL,1968,80
2294,NZL,1972,118
2295,NZL,1976,111
2296,NZL,1980,18
2297,NZL,1984,171
2298,NZL,1988,131
2299,NZL,1992,185
2300,NZL,1994,16
2301,NZL,1996,129
2302,NZL,1998,9
2303,NZL,2000,177
2304,NZL,2002,16
2305,NZL,2004,184
2306,NZL,2006,18
2307,NZL,2008,201
2308,NZL,2010,22
2309,NZL,2012,204
2310,NZL,2014,18
2311,NZL,2016,232
2312,OMA,1984,22
2313,OMA,1988,13
2314,OMA,1992,5
2315,OMA,1996,5
2316,OMA,2000,8
2317,OMA,2004,2
2318,OMA,2008,4
2319,OMA,2012,3
2320,OMA,2016,4
2321,PAK,1948,44
2322,PAK,1952,51
2323,PAK,1956,79
2324,PAK,1960,53
2325,PAK,1964,47
2326,PAK,1968,15
2327,PAK,1972,26
2328,PAK,1976,24
2329,PAK,1984,33
2330,PAK,1988,33
2331,PAK,1992,28
2332,PAK,1996,24
2333,PAK,2000,27
2334,PAK,2004,26
2335,PAK,2008,22
2336,PAK,2010,1
2337,PAK,2012,21
2338,PAK,2014,1
2339,PAK,2016,7
2340,PAN,1928,2
2341,PAN,1948,2
2342,PAN,1952,1
2343,PAN,1960,8
2344,PAN,1964,15
2345,PAN,1968,16
2346,PAN,1972,8
2347,PAN,1976,13
2348,PAN,1984,10
2349,PAN,1988,9
2350,PAN,1992,7
2351,PAN,1996,9
2352,PAN,2000,7
2353,PAN,2004,5
2354,PAN,2008,5
2355,PAN,2012,8
2356,PAN,2016,14
2357,PAR,1968,1
2358,PAR,1972,3
2359,PAR,1976,6
2360,PAR,1984,18
2361,PAR,1988,13
2362,PAR,1992,31
2363,PAR,1996,7
2364,PAR,2000,5
2365,PAR,2004,22
2366,PAR,2008,7
2367,PAR,2012,10
2368,PAR,2014,1
2369,PAR,2016,11
2370,PER,1900,2
2371,PER,1932,3
2372,PER,1936,46
2373,PER,1948,49
2374,PER,1956,10
2375,PER,1960,33
2376,PER,1964,40
2377,PER,1968,33
2378,PER,1972,31
2379,PER,1976,14
2380,PER,1980,38
2381,PER,1984,44
2382,PER,1988,26
2383,PER,1992,21
2384,PER,1996,33
2385,PER,2000,22
2386,PER,2004,14
2387,PER,2008,13
2388,PER,2010,5
2389,PER,2012,16
2390,PER,2014,5
2391,PER,2016,34
2392,PHI,1924,2
2393,PHI,1928,6
2394,PHI,1932,8
2395,PHI,1936,40
2396,PHI,1948,31
2397,PHI,1952,28
2398,PHI,1956,48
2399,PHI,1960,49
2400,PHI,1964,70
2401,PHI,1968,89
2402,PHI,1972,83
2403,PHI,1976,22
2404,PHI,1984,32
2405,PHI,1988,43
2406,PHI,1992,40
2407,PHI,1996,18
2408,PHI,2000,22
2409,PHI,2004,21
2410,PHI,2008,17
2411,PHI,2012,11
2412,PHI,2014,1
2413,PHI,2016,13
2414,PLE,1996,1
2415,PLE,2000,2
2416,PLE,2004,3
2417,PLE,2008,4
2418,PLE,2012,5
2419,PLE,2016,6
2420,PLW,2000,5
2421,PLW,2004,4
2422,PLW,2008,5
2423,PLW,2012,5
2424,PLW,2016,6
2425,PNG,1976,9
2426,PNG,1984,12
2427,PNG,1988,15
2428,PNG,1992,19
2429,PNG,1996,17
2430,PNG,2000,5
2431,PNG,2004,6
2432,PNG,2008,9
2433,PNG,2012,8
2434,PNG,2016,8
2435,POL,1912,1
2436,POL,1924,115
2437,POL,1928,174
2438,POL,1932,93
2439,POL,1936,209
2440,POL,1948,96
2441,POL,1952,290
2442,POL,1956,192
2443,POL,1960,335
2444,POL,1964,326
2445,POL,1968,348
2446,POL,1972,484
2447,POL,1976,379
2448,POL,1980,457
2449,POL,1984,42
2450,POL,1988,235
2451,POL,1992,361
2452,POL,1994,59
2453,POL,1996,207
2454,POL,1998,79
2455,POL,2000,240
2456,POL,2002,54
2457,POL,2004,224
2458,POL,2006,91
2459,POL,2008,316
2460,POL,2010,106
2461,POL,2012,256
2462,POL,2014,149
2463,POL,2016,289
2464,POR,1912,8
2465,POR,1920,40
2466,POR,1924,47
2467,POR,1928,39
2468,POR,1932,8
2469,POR,1936,26
2470,POR,1948,65
2471,POR,1952,156
2472,POR,1956,18
2473,POR,1960,109
2474,POR,1964,25
2475,POR,1968,33
2476,POR,1972,41
2477,POR,1976,36
2478,POR,1980,18
2479,POR,1984,48
2480,POR,1988,99
2481,POR,1992,115
2482,POR,1994,4
2483,POR,1996,131
2484,POR,1998,2
2485,POR,2000,64
2486,POR,2004,93
2487,POR,2006,1
2488,POR,2008,87
2489,POR,2010,1
2490,POR,2012,98
2491,POR,2014,4
2492,POR,2016,106
2493,PRK,1964,20
2494,PRK,1972,93
2495,PRK,1976,40
2496,PRK,1980,121
2497,PRK,1984,17
2498,PRK,1988,15
2499,PRK,1992,159
2500,PRK,1996,36
2501,PRK,1998,17
2502,PRK,2000,47
2503,PRK,2004,71
2504,PRK,2006,7
2505,PRK,2008,66
2506,PRK,2010,3
2507,PRK,2012,57
2508,PRK,2016,38
2509,PUR,1948,9
2510,PUR,1952,23
2511,PUR,1956,14
2512,PUR,1960,29
2513,PUR,1964,45
2514,PUR,1968,99
2515,PUR,1972,60
2516,PUR,1976,112
2517,PUR,1980,3
2518,PUR,1984,59
2519,PUR,1988,73
2520,PUR,1992,107
2521,PUR,1994,6
2522,PUR,1996,91
2523,PUR,1998,7
2524,PUR,2000,38
2525,PUR,2004,52
2526,PUR,2008,31
2527,PUR,2012,28
2528,PUR,2016,41
2529,QAT,1984,26
2530,QAT,1988,13
2531,QAT,1992,30
2532,QAT,1996,13
2533,QAT,2000,19
2534,QAT,2004,15
2535,QAT,2008,20
2536,QAT,2012,14
2537,QAT,2016,42
2538,RHO,1960,12
2539,ROT,2016,12
2540,ROU,1900,1
2541,ROU,1924,45
2542,ROU,1928,43
2543,ROU,1932,8
2544,ROU,1936,140
2545,ROU,1948,14
2546,ROU,1952,266
2547,ROU,1956,138
2548,ROU,1960,156
2549,ROU,1964,263
2550,ROU,1968,141
2551,ROU,1972,281
2552,ROU,1976,298
2553,ROU,1980,381
2554,ROU,1984,228
2555,ROU,1988,197
2556,ROU,1992,368
2557,ROU,1994,48
2558,ROU,1996,284
2559,ROU,1998,29
2560,ROU,2000,252
2561,ROU,2002,41
2562,ROU,2004,193
2563,ROU,2006,53
2564,ROU,2008,172
2565,ROU,2010,49
2566,ROU,2012,155
2567,ROU,2014,40
2568,ROU,2016,121
2569,RSA,1904,8
2570,RSA,1908,33
2571,RSA,1912,56
2572,RSA,1920,97
2573,RSA,1924,44
2574,RSA,1928,40
2575,RSA,1932,20
2576,RSA,1936,54
2577,RSA,1948,43
2578,RSA,1952,109
2579,RSA,1956,90
2580,RSA,1960,76
2581,RSA,1992,141
2582,RSA,1994,3
2583,RSA,1996,111
2584,RSA,1998,3
2585,RSA,2000,161
2586,RSA,2002,4
2587,RSA,2004,128
2588,RSA,2006,9
2589,RSA,2008,179
2590,RSA,2010,2
2591,RSA,2012,145
2592,RSA,2016,155
2593,RUS,1900,5
2594,RUS,1908,7
2595,RUS,1912,266
2596,RUS,1924,3
2597,RUS,1994,208
2598,RUS,1996,552
2599,RUS,1998,197
2600,RUS,2000,602
2601,RUS,2002,240
2602,RUS,2004,593
2603,RUS,2006,283
2604,RUS,2008,600
2605,RUS,2010,279
2606,RUS,2012,549
2607,RUS,2014,353
2608,RUS,2016,406
2609,RWA,1984,6
2610,RWA,1988,8
2611,RWA,1992,10
2612,RWA,1996,4
2613,RWA,2000,5
2614,RWA,2004,5
2615,RWA,2008,4
2616,RWA,2012,7
2617,RWA,2016,7
2618,SAA,1952,93
2619,SAM,1984,9
2620,SAM,1988,11
2621,SAM,1992,5
2622,SAM,1996,5
2623,SAM,2000,5
2624,SAM,2004,3
2625,SAM,2008,7
2626,SAM,2012,9
2627,SAM,2016,9
2628,SCG,1996,79
2629,SCG,1998,2
2630,SCG,2000,125
2631,SCG,2002,8
2632,SCG,2004,96
2633,SCG,2006,11
2634,SEN,1964,14
2635,SEN,1968,24
2636,SEN,1972,40
2637,SEN,1976,33
2638,SEN,1980,39
2639,SEN,1984,31
2640,SEN,1988,35
2641,SEN,1992,35
2642,SEN,1994,1
2643,SEN,1996,12
2644,SEN,2000,32
2645,SEN,2004,21
2646,SEN,2006,3
2647,SEN,2008,17
2648,SEN,2010,2
2649,SEN,2012,32
2650,SEN,2016,22
2651,SEY,1980,21
2652,SEY,1984,15
2653,SEY,1992,21
2654,SEY,1996,9
2655,SEY,2000,9
2656,SEY,2004,10
2657,SEY,2008,10
2658,SEY,2012,6
2659,SEY,2016,10
2660,SGP,1948,1
2661,SGP,1952,7
2662,SGP,1956,52
2663,SGP,1960,5
2664,SGP,1968,6
2665,SGP,1972,12
2666,SGP,1976,4
2667,SGP,1984,14
2668,SGP,1988,27
2669,SGP,1992,37
2670,SGP,1996,35
2671,SGP,2000,23
2672,SGP,2004,22
2673,SGP,2008,36
2674,SGP,2012,36
2675,SGP,2016,32
2676,SKN,1996,14
2677,SKN,2000,4
2678,SKN,2004,2
2679,SKN,2008,6
2680,SKN,2012,7
2681,SKN,2016,9
2682,SLE,1968,4
2683,SLE,1980,32
2684,SLE,1984,10
2685,SLE,1988,20
2686,SLE,1992,15
2687,SLE,1996,19
2688,SLE,2000,3
2689,SLE,2004,2
2690,SLE,2008,3
2691,SLE,2012,2
2692,SLE,2016,4
2693,SLO,1992,108
2694,SLO,1994,59
2695,SLO,1996,47
2696,SLO,1998,69
2697,SLO,2000,90
2698,SLO,2002,96
2699,SLO,2004,102
2700,SLO,2006,96
2701,SLO,2008,73
2702,SLO,2010,107
2703,SLO,2012,78
2704,SLO,2014,116
2705,SLO,2016,70
2706,SMR,1960,13
2707,SMR,1968,4
2708,SMR,1972,7
2709,SMR,1976,13
2710,SMR,1980,16
2711,SMR,1984,37
2712,SMR,1988,27
2713,SMR,1992,28
2714,SMR,1994,3
2715,SMR,1996,7
2716,SMR,2000,4
2717,SMR,2002,1
2718,SMR,2004,5
2719,SMR,2006,1
2720,SMR,2008,4
2721,SMR,2010,1
2722,SMR,2012,4
2723,SMR,2014,2
2724,SMR,2016,4
2725,SOL,1984,3
2726,SOL,1988,5
2727,SOL,1992,1
2728,SOL,1996,4
2729,SOL,2000,2
2730,SOL,2004,2
2731,SOL,2008,3
2732,SOL,2012,4
2733,SOL,2016,3
2734,SOM,1972,4
2735,SOM,1984,9
2736,SOM,1988,5
2737,SOM,1996,4
2738,SOM,2000,2
2739,SOM,2004,2
2740,SOM,2008,2
2741,SOM,2012,2
2742,SOM,2016,2
2743,SRB,1912,2
2744,SRB,2008,97
2745,SRB,2010,15
2746,SRB,2012,134
2747,SRB,2014,17
2748,SRB,2016,127
2749,SRI,1948,10
2750,SRI,1952,7
2751,SRI,1956,3
2752,SRI,1960,5
2753,SRI,1964,7
2754,SRI,1968,3
2755,SRI,1972,6
2756,SRI,1980,4
2757,SRI,1984,6
2758,SRI,1988,9
2759,SRI,1992,16
2760,SRI,1996,11
2761,SRI,2000,24
2762,SRI,2004,8
2763,SRI,2008,9
2764,SRI,2012,8
2765,SRI,2016,10
2766,SSD,2016,3
2767,STP,1996,2
2768,STP,2000,2
2769,STP,2004,2
2770,STP,2008,4
2771,STP,2012,2
2772,STP,2016,3
2773,SUD,1960,13
2774,SUD,1968,7
2775,SUD,1972,31
2776,SUD,1984,9
2777,SUD,1988,8
2778,SUD,1992,7
2779,SUD,1996,4
2780,SUD,2000,3
2781,SUD,2004,4
2782,SUD,2008,9
2783,SUD,2012,6
2784,SUD,2016,6
2785,SUI,1896,8
2786,SUI,1900,52
2787,SUI,1904,7
2788,SUI,1906,45
2789,SUI,1908,1
2790,SUI,1912,7
2791,SUI,1920,126
2792,SUI,1924,301
2793,SUI,1928,279
2794,SUI,1932,21
2795,SUI,1936,367
2796,SUI,1948,386
2797,SUI,1952,327
2798,SUI,1956,98
2799,SUI,1960,261
2800,SUI,1964,233
2801,SUI,1968,217
2802,SUI,1972,344
2803,SUI,1976,187
2804,SUI,1980,159
2805,SUI,1984,324
2806,SUI,1988,277
2807,SUI,1992,300
2808,SUI,1994,106
2809,SUI,1996,172
2810,SUI,1998,118
2811,SUI,2000,138
2812,SUI,2002,167
2813,SUI,2004,138
2814,SUI,2006,181
2815,SUI,2008,116
2816,SUI,2010,190
2817,SUI,2012,126
2818,SUI,2014,219
2819,SUI,2016,152
2820,SUR,1968,1
2821,SUR,1972,3
2822,SUR,1976,4
2823,SUR,1984,7
2824,SUR,1988,10
2825,SUR,1992,9
2826,SUR,1996,11
2827,SUR,2000,5
2828,SUR,2004,4
2829,SUR,2008,4
2830,SUR,2012,5
2831,SUR,2016,6
2832,SVK,1994,67
2833,SVK,1996,98
2834,SVK,1998,64
2835,SVK,2000,132
2836,SVK,2002,79
2837,SVK,2004,84
2838,SVK,2006,114
2839,SVK,2008,67
2840,SVK,2010,107
2841,SVK,2012,65
2842,SVK,2014,115
2843,SVK,2016,63
2844,SWE,1896,5
